場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),総合係数
6,06_6,23,15,ニシノブレイゼスト,7.99,73.7,0.945,D,78.0,1.0,0.92845,D,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.98035,,0.945
6,06_6,23,16,ファルコンミノル,6.39,58.98,0.746,E,79.0,1.0,0.90484,D,1.038,0.681,E,1.0,1.054,B,1.0,1.0,,1.0,,1.10709,A,0.746
6,06_7,7,1,ワイルドカモミール,4.02,45.53,0.701,E,65.0,1.0,1.04952,D,1.018,0.656,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.701
6,06_7,7,2,ブルーハーツ,3.64,41.29,0.724,E,57.0,1.0,1.04309,D,1.018,0.682,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.724
6,06_7,7,3,タケウチビー,10.32,116.95,1.465,SS,79.8,1.0,1.44792,SS,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.99418,,1.465
6,06_7,7,4,アースジャッジ,0.87,9.86,0.58,E,17.0,1.0,0.84988,E,1.018,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,0.98375,,0.58
6,06_7,7,5,リラ,9.17,103.94,1.238,S,84.0,1.0,1.23571,S,1.018,0.915,D,1.0,1.0,,1.0,1.0,,1.0,,1.07536,B,1.238
6,06_7,7,6,ディールメーカー,15.32,173.58,2.845,SS,61.0,1.0,1.27137,SS,1.018,1.925,SS,1.0,1.0,,1.0,1.0,,1.0,,1.14185,A,2.845
6,06_7,7,7,ベッラモレーン,5.38,60.96,0.968,,63.0,1.0,1.15287,A,1.018,0.731,E,1.0,1.0,,1.0,1.0,,1.0,,1.12834,A,0.968
6,06_7,7,8,エフティヴェント,4.47,50.6,0.733,E,69.0,1.0,1.03719,,1.018,0.764,E,1.0,1.0,,1.0,1.0,,1.0,,0.90874,D,0.733
6,06_7,7,9,ラプランセス,6.63,75.18,0.94,D,80.0,1.0,1.1511,A,1.018,0.742,E,1.0,1.0,,1.0,1.0,,1.0,,1.08113,B,0.94
6,06_7,7,10,セルリア,3.15,35.69,0.649,E,55.0,1.0,1.0162,,1.018,0.67,E,1.0,1.0,,1.0,1.0,,1.0,,0.93617,D,0.649
6,06_7,7,11,セイウンリメンバー,4.32,48.95,0.699,E,70.0,1.0,0.86578,E,1.018,0.933,D,1.041,0.831,E,1.0,1.0,,1.0,,0.98302,,0.699
6,06_7,7,12,カドドゥディエ,4.96,56.23,0.759,E,74.0,1.0,1.20505,S,1.018,0.619,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.759
6,06_7,7,13,シャルムグリーン,8.58,97.22,1.185,S,82.0,1.0,1.30912,SS,1.018,0.746,E,1.0,1.0,,1.0,1.0,,1.0,,1.19198,S,1.185
6,06_7,7,14,ファインダーズ,7.32,82.93,1.091,B,76.0,1.0,1.33022,SS,1.018,0.895,D,1.0,1.0,,1.0,1.0,,1.0,,0.9004,D,1.091
6,06_7,7,15,セーヌデローヴ,8.2,92.94,1.223,S,76.0,1.0,1.20112,S,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.223
6,06_7,7,16,ウマナミカイドウ,3.64,41.24,0.878,D,47.0,1.0,1.23469,S,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,0.93461,D,0.878
6,06_8,43,1,パイシャオピン,18.12,141.02,1.659,SS,85.0,1.0,1.13655,A,1.028,1.113,A,1.172,0.935,B,1.0,1.0,,1.0,,1.1643,S,1.659
