場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_6,23,2,アルデツヨシ,0.03,0.15,0.008,E,18.0,1.0,0.09001,E,1.019,0.196,E,1.0,1.0,,1.0,1.0,,1.0,,0.43966,E,1.0653,B,0.008
6,06_6,23,3,ウインドワンピース,0.02,0.09,0.002,E,60.0,1.0,0.41711,E,1.019,0.036,E,1.002,1.0,,1.0,1.0,,1.0,,0.42235,E,0.24112,E,0.002
6,06_6,23,4,ノクターナル,0.82,3.85,0.069,E,56.0,1.0,0.41593,E,1.019,0.731,E,1.0,1.0,,1.0,1.0,,1.0,,1.00764,,0.21997,E,0.069
6,06_6,23,5,クールシェルタ,4.86,22.94,0.337,E,68.0,1.0,0.47617,E,1.019,0.669,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.03849,,0.337
6,06_6,23,6,リラゲイル,21.95,103.6,1.279,SS,81.0,1.0,1.0823,B,1.019,1.053,B,1.0,1.0,,1.0,1.0,,1.0,,1.13986,A,0.96588,,1.279
6,06_6,23,7,ロードインフェルノ,7.64,36.08,0.547,E,66.0,1.0,1.01793,,1.019,1.0,,1.0,0.951,D,1.0,1.0,,1.0,,0.48978,E,1.13188,A,0.547
6,06_6,23,8,ツマヤ,0.04,0.17,0.002,E,74.0,1.0,1.06503,B,1.019,0.036,E,1.0,0.996,,1.0,1.0,,1.0,,1.08263,B,0.0545,E,0.002
6,06_6,23,9,アリステア,3.59,16.95,0.229,E,74.0,1.0,0.48196,E,1.019,0.791,E,1.0,1.0,,1.0,1.0,,1.0,,1.1562,A,0.50973,E,0.229
6,06_6,23,10,ディースプレマシー,15.52,73.28,0.928,D,79.0,1.0,1.03334,,1.019,0.862,E,1.011,1.0,,1.0,1.0,,1.0,,0.99949,,1.01146,,0.928
6,06_6,23,11,ノアヴィヴァーチェ,8.89,41.97,0.531,E,79.0,1.0,1.00996,,1.019,0.819,E,1.0,1.0,,1.0,1.0,,1.0,,0.61124,E,1.03072,,0.531
