場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_7,7,4,エイシンビーコン,5.41,53.4,0.871,D,80.0,1.0,0.98974,,1.018,0.901,D,1.0,1.0,,1.0,1.0,,1.0,,1.15061,A,0.83384,E,0.7666,E,0.871
10,10_7,7,5,エルファリス,3.68,36.28,0.694,E,46.0,1.0,1.02947,,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,0.88355,D,1.00396,,1.13575,A,0.694
10,10_7,7,6,ダンシングアウェイ,5.4,53.23,0.724,E,76.0,1.0,1.10223,A,1.018,0.595,E,1.0,1.0,,1.0,1.0,,1.0,,1.00569,,1.07816,B,0.96679,,0.724
10,10_7,7,7,ビアリッツ,1.54,15.22,0.316,E,54.0,1.0,0.6857,E,1.018,0.579,E,1.0,0.844,E,1.0,1.0,,1.0,,1.0,,0.92638,D,0.89172,D,0.316
10,10_7,7,8,ドッグウッド,11.34,111.82,1.186,S,83.0,1.0,1.00103,,1.018,1.152,A,1.0,1.0,,1.0,1.0,,1.0,,0.85317,E,1.18427,S,1.13532,A,1.186
10,10_7,7,9,ウインアベリア,4.61,45.5,0.955,D,60.0,1.0,1.18725,S,1.018,0.783,E,1.0,1.0,,1.0,1.0,,1.0,,1.05228,B,0.95897,D,0.7944,E,0.955
10,10_7,7,10,トレセデオロ,8.26,81.44,1.175,S,62.0,1.0,1.07725,B,1.018,0.836,E,1.0,1.0,,1.0,1.0,,1.0,,1.09729,B,1.16783,S,1.11806,A,1.175
10,10_7,7,11,シュプリームレルム,1.57,15.52,0.325,E,51.0,1.0,0.65347,E,1.018,0.539,E,1.0,0.844,E,1.0,1.0,,1.0,,1.0868,B,0.98693,,0.93782,D,0.325
10,10_7,7,12,ビップヴォルフ,6.61,65.19,0.918,D,70.0,1.0,1.01646,,1.018,0.769,E,1.0,1.0,,1.0,1.0,,1.0,,1.11682,A,1.03321,,1.01453,,0.918
10,10_7,7,13,グランドフィナーレ,3.72,36.65,0.69,E,59.0,1.0,1.0793,B,1.018,0.716,E,1.0,1.0,,1.0,1.0,,1.0,,1.0381,,0.84515,E,0.89998,D,0.69
