場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_8,43,7,レディーフランシス,5.21,44.93,0.591,E,76.0,1.0,0.83222,E,1.028,0.7,E,0.922,1.0,D,0.993,1.0,,1.0,,1.00042,,1.07736,B,0.591
6,06_8,43,8,ヴォンフレ,3.74,32.22,0.429,E,75.0,1.0,0.78703,E,1.028,0.681,E,1.0,0.734,E,0.917,1.0,D,1.0,,1.14943,A,1.00712,,0.429
6,06_8,43,9,リュウノタブーク,3.77,32.5,0.457,E,71.0,1.0,0.77358,E,1.028,0.681,E,1.0,1.0,,0.807,1.0,E,1.0,,1.02214,,1.02365,,0.457
6,06_8,43,10,イゾラフェリーチェ,3.83,33.04,0.359,E,92.0,1.0,0.7174,E,1.028,0.654,E,1.0,1.0,,0.856,1.0,E,1.0,,0.95736,D,0.90831,D,0.359
6,06_8,43,11,エーリアル,9.54,82.26,1.041,D,79.0,1.0,0.76645,E,1.028,1.056,B,1.0,1.0,,1.006,1.0,,1.0,,1.09233,B,1.13813,A,1.041
6,06_8,43,12,ベルイストワール,3.1,26.74,0.399,E,67.0,1.0,0.88654,D,1.028,0.574,E,1.0,1.0,,0.732,1.0,E,1.0,,1.0,,1.0416,D,0.399
6,06_8,43,13,オーケーマヒナ,3.57,30.81,0.489,E,63.0,1.0,0.9885,,1.028,0.579,E,1.0,1.0,,0.826,1.0,E,1.0,,0.91389,D,1.10048,A,0.489
6,06_8,43,14,レイバックスピン,18.11,156.13,1.677,SS,93.0,1.0,1.03613,,1.028,1.067,B,1.0,1.0,,1.239,1.0,S,1.0,,1.06867,B,1.11472,A,1.677
6,06_8,43,15,コスモマルーン,2.31,19.92,0.28,E,71.0,1.0,0.83778,E,1.028,0.586,E,1.0,1.0,,0.754,1.0,E,1.0,,0.97675,,0.75429,E,0.28
6,06_8,43,16,マフィン,5.14,44.34,0.504,E,88.0,1.0,0.6938,E,1.028,0.681,E,1.0,1.0,,0.856,1.0,E,1.0,,1.11694,A,1.08443,B,0.504
6,06_9,67,1,ジュノー,6.43,98.32,1.058,B,93.0,1.0,1.18584,S,1.035,0.697,E,1.0,1.0,,1.0,1.0,,1.0,,1.34689,SS,0.91826,D,1.058
6,06_9,67,2,レッドアトレーヴ,8.39,128.3,1.296,SS,99.0,1.0,1.22693,S,1.035,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.07667,B,0.94805,D,1.296
6,06_9,67,3,サムハンター,6.16,94.19,1.013,,93.0,1.0,1.0121,,1.035,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.9566,D,1.01087,,1.013
6,06_9,67,4,パワーホール,6.03,92.24,0.942,D,98.0,1.0,1.11659,A,1.035,0.82,E,1.0,1.0,,1.0,1.0,,1.0,,0.9686,,1.02576,,0.942
6,06_9,67,5,コートアリシアン,10.33,157.84,1.547,SS,102.0,1.0,1.23452,S,1.035,1.341,SS,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.90301,D,1.547
6,06_9,67,6,ケイデンシーマーク,7.92,121.07,1.261,SS,96.0,1.0,1.11332,A,1.035,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.06831,B,1.02471,,1.261
6,06_9,67,7,ポルカリズム,8.11,123.98,1.24,S,100.0,1.0,1.11648,A,1.035,0.917,D,1.0,1.0,,1.0,1.0,,1.0,,1.05661,B,1.10768,A,1.24
6,06_9,67,8,グローリーリンク,10.2,155.87,1.514,SS,103.0,1.0,1.1548,A,1.035,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.07474,B,1.17833,S,1.514
6,06_9,67,9,ユキノロイヤル,5.62,85.86,0.965,,89.0,1.0,1.24504,S,1.035,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.05014,B,0.95467,D,0.965
6,06_9,67,10,ブランデーロック,5.04,77.03,0.794,E,97.0,1.0,0.99325,,1.035,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.93273,D,0.82838,E,0.794
6,06_9,67,11,セブンマジシャン,5.54,84.74,0.823,E,103.0,1.0,1.1418,A,1.035,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.98928,,0.70384,E,0.823
6,06_9,67,12,エリーズダイヤ,3.32,50.72,0.59,E,86.0,1.0,0.99617,,1.035,0.682,E,1.0,0.975,,1.0,1.0,,1.0,,0.99842,,0.86138,E,0.59
6,06_9,67,13,マルチャン,7.1,108.49,1.192,S,91.0,1.0,1.03924,,1.035,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0344,,1.07178,B,1.192
6,06_9,67,14,メタルスピード,4.56,69.63,0.757,E,92.0,1.0,1.01927,,1.035,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.07831,B,0.89093,D,0.757
