場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_5,15,13,フクオトコ,10.57,81.5,1.069,B,71.6,1.0271,1.04556,D,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.01081,,1.06386,B,1.069
10,10_5,15,14,ライクアストリーク,4.44,34.24,0.523,E,71.6,1.01925,1.05771,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.49231,E,0.91395,D,0.523
10,10_5,15,15,ブルズアイプリンス,11.26,86.76,1.161,S,71.6,1.03125,1.02773,,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.11247,A,1.04262,D,1.161
10,10_5,15,16,ブロークンハート,2.7,20.81,0.273,E,71.6,1.02794,1.03604,,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.25998,E,1.06498,B,0.273
10,10_5,15,17,シーズンインザサン,1.0,7.72,0.223,E,71.6,1.08115,1.01779,,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.87139,D,0.23576,E,0.48415,E,0.223
10,10_5,15,18,ルナティックブルー,2.63,20.24,0.251,E,71.6,1.07394,1.06542,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.97981,,0.22723,E,1.12553,A,0.251
10,10_6,7,1,ユウトザケンケン,7.91,19.11,0.302,E,60.0,1.0,0.46199,E,1.013,0.688,E,1.0,0.769,E,1.0,1.0,,1.0,,1.16751,S,1.04589,D,1.05395,B,0.302
10,10_6,7,2,ランブリングマン,5.88,14.2,0.465,E,64.0,1.0,0.4693,E,1.013,1.0,,1.0,0.916,D,1.0,1.0,,1.0,,1.0,,1.06801,B,0.47714,E,0.465
10,10_6,7,3,ハイビッグゴールド,1.24,3.0,0.046,E,62.0,1.0,0.49199,E,1.013,0.826,E,1.0,1.0,,1.0,1.0,,1.0,,0.45484,E,0.24557,E,1.0513,B,0.046
10,10_6,7,4,メイショウゲッコウ,5.96,14.4,0.426,E,73.0,1.0,0.43906,E,1.013,1.0,,0.898,0.901,E,1.0,1.0,,1.0,,1.063,B,1.11431,A,0.4629,E,0.426
10,10_6,7,5,ジャーナーリア,1.37,3.32,0.126,E,62.0,1.0,0.46388,E,1.013,0.729,E,1.0,0.911,D,1.0,1.0,,1.0,,1.0,,0.40371,E,0.42559,E,0.126
10,10_6,7,6,メイショウルーク,0.94,2.27,0.197,E,49.0,1.0,0.48435,E,1.013,1.0,,1.0,0.93,D,1.0,1.0,,1.0,,0.43156,E,1.0,,0.23524,E,0.197
10,10_6,7,7,ロードアマルフィ,51.07,123.31,1.265,SS,74.0,1.0,1.05443,B,1.013,1.005,,1.104,1.0,A,1.0,1.0,,1.0,,1.0,,1.06703,B,1.31714,SS,1.265
10,10_6,7,8,ブラックレジェンド,9.01,21.75,0.343,E,65.0,1.0,0.40512,E,1.013,0.75,E,1.0,0.931,D,1.0,1.0,,1.0,,1.06986,B,1.11777,A,0.97611,,0.343
10,10_6,7,9,アニマレイ,8.38,20.24,0.333,E,70.0,1.0,0.44748,E,1.013,0.801,E,1.0,0.913,D,1.0,1.0,,1.0,,1.02109,,0.98252,,0.86905,E,0.333
10,10_6,7,10,ハッピーブルー,6.05,14.6,0.389,E,71.0,1.0,0.44129,E,1.013,1.0,,1.0,0.875,D,1.0,1.0,,1.0,,1.0,,0.99343,,0.52897,E,0.389
10,10_6,7,11,カレンショー,2.18,5.26,0.103,E,57.0,1.0,0.43373,E,1.013,0.667,E,1.0,0.305,E,1.0,1.0,,1.0,,1.13333,A,1.01534,,0.89795,D,0.103
10,10_7,7,1,リアライズパリオ,10.3,69.05,1.121,A,54.0,1.0,1.24441,S,1.013,0.808,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.10063,A,1.13997,A,1.121
10,10_7,7,2,レイワノキセキ,7.63,51.16,0.639,E,75.0,1.0,0.89999,D,1.013,0.71,E,1.0,1.0,,1.0,1.0,,1.0,,1.00107,,0.98612,,1.06765,B,0.639
10,10_7,7,3,ウインシャリーフ,2.28,15.32,0.526,E,59.0,1.0,1.1024,A,1.013,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.47092,E,0.4936,E,0.526
10,10_7,7,4,エイシンビーコン,4.82,32.3,0.475,E,80.0,1.0,0.97828,,1.013,0.906,D,1.0,1.0,,1.0,1.0,,1.0,,1.08087,B,0.48958,E,0.84952,E,0.475
10,10_7,7,5,エルファリス,0.01,0.08,0.117,E,46.0,1.0,1.1374,A,1.013,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,0.95594,D,1.01726,,0.01505,E,0.117
10,10_7,7,6,ダンシングアウェイ,10.94,73.33,0.967,,76.0,1.0,1.18533,S,1.013,0.71,E,1.0,1.0,,1.0,1.0,,1.0,,1.00769,,1.12559,A,0.99798,,0.967
10,10_7,7,7,ビアリッツ,0.21,1.39,0.062,E,54.0,1.0,0.44108,E,1.013,0.741,E,1.0,0.846,E,1.0,1.0,,1.0,,1.0,,0.22282,E,0.41362,E,0.062
10,10_7,7,8,ドッグウッド,13.33,89.37,0.934,D,83.0,1.0,1.11035,A,1.013,1.066,B,1.0,1.0,,1.0,1.0,,1.0,,0.83931,E,0.92814,D,1.15268,A,0.934
10,10_7,7,9,ウインアベリア,1.05,7.03,0.118,E,60.0,1.0,1.23136,S,1.013,0.843,E,1.0,1.0,,1.0,1.0,,1.0,,1.005,,0.11207,E,0.98925,,0.118
